id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
300	haas (2020)	"<table><tr><td>Authors:</td><td>haas, jannik; moreno-leiva, simón; junne, tobias; chen, po jung; pamparana, giovanni; nowak, wolfgang; kracht, willy; ortiz, julián m.</td></tr><tr><td>Title:</td><td>copper mining: 100% solar electricity by 2030?</td></tr><tr><td>Source:</td><td>applied energy, 262</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.apenergy.2020.114506	-0.4593	1.1655	19	2	0	0	2020	0	0
301	yang (2020)	"<table><tr><td>Authors:</td><td>yang, bo; wang, jingbo; zhang, xiaoshun; yu, tao; yao, wei; shu, hongchun; zeng, fang; sun, liming</td></tr><tr><td>Title:</td><td>comprehensive overview of meta-heuristic algorithm applications on pv cell parameter identification</td></tr><tr><td>Source:</td><td>energy conversion and management, 208</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.enconman.2020.112595	0.5922	-0.053	37	1	9	16.4717	2020	9	16.4717
311	spiliotis (2020)	"<table><tr><td>Authors:</td><td>spiliotis, konstantinos; gonçalves, juliana e.; saelens, dirk; baert, kris; driesen, johan</td></tr><tr><td>Title:</td><td>electrical system architectures for building-integrated photovoltaics: a comparative analysis using a modelling framework in modelica</td></tr><tr><td>Source:</td><td>applied energy, 261</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.apenergy.2019.114247	-0.7615	-0.2134	33	6	0	0	2020	0	0
314	hanifi (2020)	"<table><tr><td>Authors:</td><td>hanifi, hamed; regondi, simone; jaeckel, bengt; schneider, jens</td></tr><tr><td>Title:</td><td>determination of electrical characteristics and temperature of pv modules by means of a coupled electrical-thermal model</td></tr><tr><td>Source:</td><td>journal of renewable and sustainable energy, 12</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1063/5.0001599	-0.5093	-0.5849	13	3	0	0	2020	0	0
345	nadal (2020)	"<table><tr><td>Authors:</td><td>nadal, amélia; ruby, alain; bourasseau, cyril; riu, delphine; berenguer, christophe</td></tr><tr><td>Title:</td><td>accounting for techno-economic parameters uncertainties for robust design of remote microgrid</td></tr><tr><td>Source:</td><td>international journal of electrical power and energy systems, 116</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.ijepes.2019.105531	1.3616	0.2362	21	4	0	0	2020	0	0
356	chen (2020)	"<table><tr><td>Authors:</td><td>chen, biaowei; lin, peijie; lin, yaohai; lai, yunfeng; cheng, shuying; chen, zhicong; wu, lijun</td></tr><tr><td>Title:</td><td>hour-ahead photovoltaic power forecast using a hybrid gra-lstm model based on multivariate meteorological factors and historical power datasets</td></tr><tr><td>Source:</td><td>iop conference series: earth and environmental science, 431</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1088/1755-1315/431/1/012059	-0.2694	0.2488	14	5	0	0	2020	0	0
358	ahmad (2020)	"<table><tr><td>Authors:</td><td>ahmad, ashfaq; jin, yi; zhu, changan; javed, iqra; waqar akram, m.; buttar, noman ali</td></tr><tr><td>Title:</td><td>support vector machine based prediction of photovoltaic module and power station parameters</td></tr><tr><td>Source:</td><td>international journal of green energy, 17</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1080/15435075.2020.1722131	-0.1063	0.2626	25	10	0	0	2020	0	0
405	parthiban (2020)	"<table><tr><td>Authors:</td><td>parthiban, anandhi; reddy, k. s.; pesala, bala; mallick, t. k.</td></tr><tr><td>Title:</td><td>effects of operational and environmental parameters on the performance of a solar photovoltaic-thermal collector</td></tr><tr><td>Source:</td><td>energy conversion and management, 205</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.enconman.2019.112428	-0.4919	-0.5527	13	3	0	0	2020	0	0
410	chenouard (2020)	"<table><tr><td>Authors:</td><td>chenouard, raphael; el-sehiemy, ragab a.</td></tr><tr><td>Title:</td><td>an interval branch and bound global optimization algorithm for parameter estimation of three photovoltaic models</td></tr><tr><td>Source:</td><td>energy conversion and management, 205</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.enconman.2019.112400	0.4282	-0.1145	2	6	2	3.6604	2020	2	3.6604
416	shittu (2020a)	"<table><tr><td>Authors:</td><td>shittu, samson; li, guiqiang; zhao, xudong; ma, xiaoli; akhlaghi, yousef golizadeh; fan, yi</td></tr><tr><td>Title:</td><td>comprehensive study and optimization of concentrated photovoltaic-thermoelectric considering all contact resistances</td></tr><tr><td>Source:</td><td>energy conversion and management, 205</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.enconman.2019.112422	0.3866	-0.6538	11	5	5	9.1509	2020	5	9.1509
436	rocha (2020)	"<table><tr><td>Authors:</td><td>rocha, amanda suianny fernandes; guerra, fabiana karla de o, m.v.; vale, marcelo roberto bastos guerra</td></tr><tr><td>Title:</td><td>forecasting the performance of a photovoltaic solar system installed in other locations using artificial neural networks</td></tr><tr><td>Source:</td><td>electric power components and systems, 48</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1080/15325008.2020.1736211	0.1461	-0.0156	26	2	0	0	2020	0	0
460	zhang (2020b)	"<table><tr><td>Authors:</td><td>zhang, chen; zhang, yunpeng; su, jialei; gu, tingkun; yang, ming</td></tr><tr><td>Title:</td><td>performance prediction of pv modules based on artificial neural network and explicit analytical model</td></tr><tr><td>Source:</td><td>journal of renewable and sustainable energy, 12</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1063/1.5131432	0.2013	-0.0647	26	2	0	0	2020	0	0
475	el hendouzi (2020)	"<table><tr><td>Authors:</td><td>el hendouzi, abdelhakim; bourouhou, abdennaser; ansari, omar</td></tr><tr><td>Title:</td><td>the importance of distance between photovoltaic power stations for clear accuracy of short-term photovoltaic power forecasting</td></tr><tr><td>Source:</td><td>journal of electrical and computer engineering, 2020</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1155/2020/9586707	-0.2488	0.4043	12	7	0	0	2020	0	0
495	alsmadi (2020)	"<table><tr><td>Authors:</td><td>alsmadi, yazan m.; alqahtani, ayedh; giral, roberto; vidal-idiarte, enric; martinez-salamero, luis; utkin, vadim; xu, longya; abdelaziz, almoataz y.</td></tr><tr><td>Title:</td><td>sliding mode control of photovoltaic based power generation systems for microgrid applications</td></tr><tr><td>Source:</td><td>international journal of control, nan</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1080/00207179.2019.1664762	0.3719	-0.2671	42	2	0	0	2020	0	0
499	montano (2020)	"<table><tr><td>Authors:</td><td>montano, j.; tobón, a. f.; villegas, j. p.; durango, m.</td></tr><tr><td>Title:</td><td>grasshopper optimization algorithm for parameter estimation of photovoltaic modules based on the single diode model</td></tr><tr><td>Source:</td><td>international journal of energy and environmental engineering, nan</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1007/s40095-020-00342-4	0.295	-0.0767	9	5	0	0	2020	0	0
514	chung (2020)	"<table><tr><td>Authors:</td><td>chung, min hee</td></tr><tr><td>Title:</td><td>estimating solar insolation and power generation of photovoltaic systems using previous day weather data</td></tr><tr><td>Source:</td><td>advances in civil engineering, 2020</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1155/2020/8701368	-0.3044	0.314	14	2	0	0	2020	0	0
544	dhillon (2020)	"<table><tr><td>Authors:</td><td>dhillon, sukhampreet kaur; madhu, charu; kaur, daljeet; singh, sarvjit</td></tr><tr><td>Title:</td><td>a review on precision agriculture using wireless sensor networks incorporating energy forecast techniques</td></tr><tr><td>Source:</td><td>wireless personal communications, nan</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1007/s11277-020-07341-y	-0.336	0.2928	5	2	0	0	2020	0	0
553	thormeyer (2020)	"<table><tr><td>Authors:</td><td>thormeyer, christoph; sasse, jan philipp; trutnevyte, evelina</td></tr><tr><td>Title:</td><td>spatially-explicit models should consider real-world diffusion of renewable electricity: solar pv example in switzerland</td></tr><tr><td>Source:</td><td>renewable energy, 145</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.renene.2019.06.017	-0.4677	1.0309	7	2	3	5.4906	2020	3	5.4906
